rank,rise_amount,is_rising,artist_raw,artists,num_artists,title,genre,points,days,beatport_link
73,0,False,QULIANO,QULIANO,1,NYC,TECH HOUSE,5149,88,https://www.beatport.com/track/nyc/20029418
74,0,False,"CHRIS LAKE, SKRILLEX, ANITA B QUEEN",CHRIS LAKE | SKRILLEX | ANITA B QUEEN,3,LA NOCHE,BASS HOUSE,5116,86,https://www.beatport.com/track/la-noche/21893118
75,0,False,"SHIMZA, KASANGO, AR/CO",SHIMZA | KASANGO | AR/CO,3,Fire Fire,AFRO HOUSE,5103,115,https://www.beatport.com/track/fire-fire/20614372
76,0,False,MAU P,MAU P,1,TESLA,TECH HOUSE,5070,82,https://www.beatport.com/track/tesla/20630687
77,0,False,JORDAN PEAK,JORDAN PEAK,1,Front 2 Back,HOUSE,5069,76,https://www.beatport.com/track/front-2-back/20709709
78,0,False,MAX STYLER,MAX STYLER,1,I Know You Want To,TECH HOUSE,4993,99,https://www.beatport.com/track/i-know-you-want-to/20079434
79,1,True,"RIORDAN, A+",RIORDAN | A+,2,Party Out,TECH HOUSE,4875,61,https://www.beatport.com/track/party-out/22910099
80,98,True,"RIORDAN, SILVA BUMPA",RIORDAN | SILVA BUMPA,2,Lifting,UK GARAGE / BASSLINE,4823,61,https://www.beatport.com/track/lifting/24441099
81,1,True,"WESTEND, SIDEPIECE",WESTEND | SIDEPIECE,2,Take Your Places,BASS HOUSE,4822,72,https://www.beatport.com/track/take-your-places/22015399
82,1,True,"JOSH BAKER, PAIGE CAVELL, SILVA BUMPA",JOSH BAKER | PAIGE CAVELL | SILVA BUMPA,3,Feel This Way,HOUSE,4745,63,https://www.beatport.com/track/feel-this-way/23278801
83,3,True,BRITNEY SPEARS,BRITNEY SPEARS,1,I Wanna Go (John Summit Extended Remix),DANCE / POP,4656,83,https://www.beatport.com/track/i-wanna-go/22236530
84,0,False,"PROSPA, RAHH",PROSPA | RAHH,2,This Rhythm (feat. RAHH),HOUSE,4646,97,https://www.beatport.com/track/this-rhythm-feat-rahh/19672880
85,2,True,"DELERIUM, SARAH MCLACHLAN, JOHN SUMMIT",DELERIUM | SARAH MCLACHLAN | JOHN SUMMIT,3,Silence feat. Sarah McLachlan,DANCE / POP,4646,79,https://www.beatport.com/track/silence-feat-sarah-mclachlan/20488876
86,2,True,CALVIN HARRIS,CALVIN HARRIS,1,I'm Not Alone,UK GARAGE / BASSLINE,4634,94,https://www.beatport.com/track/im-not-alone/21048828
87,2,True,"TIGA, MEDUZA",TIGA | MEDUZA,2,You Gonna Want Me (I Know),MELODIC HOUSE & TECHNO,4594,81,https://www.beatport.com/track/you-gonna-want-me-i-know/22385378
88,2,True,HATIRAS,HATIRAS,1,Hypnotized,TECH HOUSE,4571,88,https://www.beatport.com/track/hypnotized/20626343
89,2,True,BRADEAZY,BRADEAZY,1,Up Down,BASS HOUSE,4538,112,https://www.beatport.com/track/up-down/21302857
90,3,True,"MELOKO, KONVEX (FR), GARLA",MELOKO | KONVEX (FR) | GARLA,3,If U Ever,MELODIC HOUSE & TECHNO,4441,76,https://www.beatport.com/track/if-u-ever/20778427
91,3,True,LAYTON GIORDANI,LAYTON GIORDANI,1,Hold It Down (DARE),TECH HOUSE,4437,63,https://www.beatport.com/track/hold-it-down-dare/22412782
92,5,True,"MAX DEAN, LUKE DEAN",MAX DEAN | LUKE DEAN,2,Gets Like That,HOUSE,4402,61,https://www.beatport.com/track/gets-like-that/21630256
